                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0005644,              0.0005644,              0.0005644
                     47,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0005545,              0.0005545,              0.0005545
                     48,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0005446,              0.0005446,              0.0005446
                     49,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0005347,              0.0005347,              0.0005347
                     50,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0005248,              0.0005248,              0.0005248
                     51,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0005149,              0.0005149,              0.0005149
                     52,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000505,               0.000505,               0.000505
                     53,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004951,              0.0004951,              0.0004951
                     54,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004852,              0.0004852,              0.0004852
                     55,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004753,              0.0004753,              0.0004753
                     56,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004654,              0.0004654,              0.0004654
                     57,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004555,              0.0004555,              0.0004555
                     58,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004456,              0.0004456,              0.0004456
                     59,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004357,              0.0004357,              0.0004357
                     60,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004258,              0.0004258,              0.0004258
                     61,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0004159,              0.0004159,              0.0004159
                     62,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000406,               0.000406,               0.000406
                     63,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003961,              0.0003961,              0.0003961
                     64,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003862,              0.0003862,              0.0003862
                     65,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003763,              0.0003763,              0.0003763
                     66,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003664,              0.0003664,              0.0003664
                     67,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003565,              0.0003565,              0.0003565
                     68,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003466,              0.0003466,              0.0003466
                     69,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003367,              0.0003367,              0.0003367
                     70,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003268,              0.0003268,              0.0003268
                     71,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003169,              0.0003169,              0.0003169
                     72,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000307,               0.000307,               0.000307
                     73,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002971,              0.0002971,              0.0002971
                     74,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002872,              0.0002872,              0.0002872
                     75,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002773,              0.0002773,              0.0002773
                     76,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002674,              0.0002674,              0.0002674
                     77,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002575,              0.0002575,              0.0002575
                     78,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002476,              0.0002476,              0.0002476
                     79,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002377,              0.0002377,              0.0002377
                     80,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002278,              0.0002278,              0.0002278
                     81,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002179,              0.0002179,              0.0002179
                     82,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000208,               0.000208,               0.000208
                     83,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001981,              0.0001981,              0.0001981
                     84,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001882,              0.0001882,              0.0001882
                     85,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001783,              0.0001783,              0.0001783
                     86,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001684,              0.0001684,              0.0001684
                     87,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001585,              0.0001585,              0.0001585
                     88,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001486,              0.0001486,              0.0001486
                     89,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001387,              0.0001387,              0.0001387
                     90,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001288,              0.0001288,              0.0001288
                     91,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001189,              0.0001189,              0.0001189
                     92,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               0.000109,               0.000109,               0.000109
                     93,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               2.98e-05,               2.98e-05,               2.98e-05
